"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3981","209074_s_at",-3.37179857065763,8.99517867345794,-24.0140161015568,3.23063495925323e-45,7.19882387970397e-41,92.4400697813284,"FAM107A","family with sequence similarity 107 member A"
"4300","209555_s_at",-2.41698373264814,8.26109862261682,-22.4232931968746,1.58849549762012e-42,1.76982225867346e-38,86.3263105582355,"CD36","CD36 molecule (CD36 blood group)"
"2183","204396_s_at",-2.3880717862727,8.67718884225234,-22.1928815869017,3.99225282542421e-42,2.96531232363093e-38,85.4161718486451,"GRK5","G protein-coupled receptor kinase 5"
"3094","206209_s_at",-2.55350849621429,8.08208037337383,-22.0031116376778,8.56774637956661e-42,4.77287731439707e-38,84.6617955791039,"CA4","carbonic anhydrase 4"
"2119","204271_s_at",-2.22749191157635,8.7836255275514,-21.9420246998206,1.09651111476042e-41,4.88671143404128e-38,84.418039753376,"EDNRB","endothelin receptor type B"
"2345","204677_at",-2.61957336314814,8.00420388171963,-21.823603110818,1.77119293319051e-41,6.57791535504736e-38,83.9442168695745,"CDH5","cadherin 5"
"4562","210081_at",-4.41746953099296,9.48229621814019,-21.4864384363449,7.00048432640373e-41,2.2284541749322e-37,82.5858433255392,"AGER","advanced glycosylation end-product specific receptor"
"9317","32625_at",-1.18215100351618,7.53375627257944,-21.4212283170809,9.14621159089209e-41,2.54756291099811e-37,82.3215227607968,"NPR1","natriuretic peptide receptor 1"
"2629","205200_at",-3.41185349805841,8.90118764742991,-21.3399695531653,1.27714023624306e-40,2.58713780765492e-37,81.9914215154944,"CLEC3B","C-type lectin domain family 3 member B"
"2630","205200_at",-3.41185349805841,8.90118764742991,-21.3399695531653,1.27714023624306e-40,2.58713780765492e-37,81.9914215154944,"EXOSC7","exosome component 7"
"3243","206702_at",-2.46645478325159,8.46804697311215,-21.3574620124648,1.18849214341617e-40,2.58713780765492e-37,82.0625504064365,"TEK","TEK receptor tyrosine kinase"
"8448","219719_at",-1.36397313661084,8.57418329919626,-21.3514421207915,1.21827773105804e-40,2.58713780765492e-37,82.0380762022493,"HIGD1B","HIG1 hypoxia inducible domain family member 1B"
"2489","204931_at",-2.53009790955735,7.35600441296262,-21.1418298667391,2.8922407325504e-40,5.37065002028504e-37,81.18310488074,"TCF21","transcription factor 21"
"7216","217046_s_at",-3.03768888583216,7.8582212571028,-21.0692010767405,3.90725476693177e-40,6.21895414082433e-37,80.8856003236021,"AGER","advanced glycosylation end-product specific receptor"
"8225","219213_at",-1.55913243015763,8.58306221443925,-21.0714013452049,3.87177456792714e-40,6.21895414082433e-37,80.8946227226976,"JAM2","junctional adhesion molecule 2"
"4467","209875_s_at",4.36441512427305,9.69923956271028,20.9993700546069,5.22079560251276e-40,7.75566589405279e-37,80.5989404595396,"SPP1","secreted phosphoprotein 1"
"2120","204273_at",-3.16126027764427,6.83445309162617,-20.8948979853734,8.06336783519538e-40,1.12297515919787e-36,80.1689480491661,"EDNRB","endothelin receptor type B"
"3931","208982_at",-1.81391374177059,10.6673127988037,-20.757746372574,1.42961276219389e-39,1.87388595176273e-36,79.602390588281,"PECAM1","platelet and endothelial cell adhesion molecule 1"
"5847","213103_at",-1.21981976711928,8.18895597621495,-20.738385513752,1.55026503873119e-39,1.91914199211373e-36,79.5222242838812,"STARD13","StAR related lipid transfer domain containing 13"
"4251","209470_s_at",-2.83583721829521,7.34324780812149,-20.6959253662378,1.85201589025637e-39,2.17202474118856e-36,79.3462483449584,"GPM6A","glycoprotein M6A"
"3930","208981_at",-1.68890249667136,10.1527935483178,-20.6039872256387,2.72404762746269e-39,3.03499766413756e-36,78.9644387974905,"PECAM1","platelet and endothelial cell adhesion molecule 1"
"8404","219597_s_at",-2.17652347704117,7.60833419566355,-20.4358254519649,5.53186002713894e-39,5.86983033260653e-36,78.263340309922,"DUOX1","dual oxidase 1"
"963","202112_at",-2.25847350861716,10.6017199527103,-20.3696029149857,7.31879008153693e-39,7.41293633576761e-36,77.9862710940984,"VWF","von Willebrand factor"
"611","201540_at",-2.55504116710626,10.7720158038879,-20.2361931602999,1.28841513673014e-38,1.24825019529381e-35,77.4264192127301,"FHL1","four and a half LIM domains 1"
"1964","203980_at",-3.83854131283955,8.89436546376636,-20.2110919060111,1.43342548808673e-38,1.25082382426407e-35,77.3208312115899,"FABP4","fatty acid binding protein 4"
"3460","207547_s_at",-1.89638636763899,8.10862416999065,-20.2157211599712,1.40549801234937e-38,1.25082382426407e-35,77.3403100748833,"FAM107A","family with sequence similarity 107 member A"
"4328","209614_at",-1.55150138764497,6.97818220730841,-20.206855523849,1.45947221787307e-38,1.25082382426407e-35,77.3030030924254,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"2984","205935_at",-2.22805788298065,8.32356754425234,-20.0687689796261,2.62809281066977e-38,2.16895526296868e-35,76.7206458852261,"FOXF1","forkhead box F1"
"2705","205357_s_at",-1.69910265594124,7.35429694220561,-19.9987125089286,3.5450972192535e-38,2.82126433345092e-35,76.4242709407091,"AGTR1","angiotensin II receptor type 1"
"3174","206481_s_at",-2.21178255434061,9.16925082266355,-19.9821607456856,3.80520334773561e-38,2.91030522927861e-35,76.3541575492935,"LDB2","LIM domain binding 2"
"3255","206742_at",-2.55490155608797,8.98701687421495,-19.9753225347827,3.91819579402945e-38,2.91030522927861e-35,76.3251806878004,"VEGFD","vascular endothelial growth factor D"
"3256","206742_at",-2.55490155608797,8.98701687421495,-19.9753225347827,3.91819579402945e-38,2.91030522927861e-35,76.3251806878004,"PIR-FIGF","PIR-FIGF readthrough"
"2372","204719_at",-2.95990968806756,7.83955245192523,-19.9447755213209,4.46566335096477e-38,3.20994762740477e-35,76.1956654807026,"ABCA8","ATP binding cassette subfamily A member 8"
"4644","210299_s_at",-2.68417512565693,7.89053779552336,-19.928644647005,4.78520282968708e-38,3.33214608293491e-35,76.1272249413678,"FHL1","four and a half LIM domains 1"
"3242","206701_x_at",-2.29893179844616,7.82647898683178,-19.861905856732,6.37130730013979e-38,4.30217698693984e-35,75.8437122222399,"EDNRB","endothelin receptor type B"
"6435","214505_s_at",-1.88907486206862,8.7088632091028,-19.6526171900109,1.56917396092524e-37,1.02840892268521e-34,74.9509563923273,"FHL1","four and a half LIM domains 1"
"3113","206283_s_at",-1.29273068848065,6.45090858492523,-19.6053323419412,1.92503174535568e-37,1.22558521090745e-34,74.7484811226489,"TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor"
